epoch_id,train_serial,lr,train_loss,train_miou,train_iou1,train_iou2,train_iou3,train_elapsed_time,val_loss,val_miou,val_iou1,val_iou2,val_iou3,val_elapsed_time
0,20221114_121400,[0.0005],0.15326572789810597,0.03326104965745346,0.8093187547365899,0.8938992922945176,0.08823312370573451,276.8,0.1172103064879775,0.031095144844980566,0.8695627880096438,0.9350000119209281,0.09642519295711888,76.6
1,20221114_121400,[0.000499986292341378],0.11330976317171007,0.06432538719033899,0.8335898055881283,0.9194023786485208,0.12229737586995111,272.6,0.10406020836904645,0.07086631841103079,0.8694720882177354,0.9260608273744577,0.13694626246932665,76.9
2,20221114_121400,[0.0004999451708687113],0.10417378527112305,0.08861185836699377,0.8432385807484407,0.9235523965209705,0.14436812335263194,272.7,0.10039454460144043,0.0945699788703323,0.867053209543228,0.9213580262660974,0.14777639486113597,75.7
3,20221114_121400,[0.0004998766400914329],0.09833696790970863,0.11314388762961489,0.8462041761726157,0.9277655629813666,0.1643148974768523,272.7,0.09624145451933146,0.1115585698631476,0.8447753724455834,0.9275805404782291,0.17781041360670644,75.7
4,20221114_121400,[0.0004997807075247146],0.09308029700536281,0.12611700467124454,0.8520306622236993,0.9289569491893042,0.17459333571389218,272.1,0.09346637655049563,0.17204367945203564,0.8749497222900388,0.9328372234106057,0.1993760257284156,76.2
5,20221114_121400,[0.0004996573836886435],0.08816687599290163,0.15271993316915858,0.858770008161665,0.9309012682735905,0.19876966481649655,271.8,0.09146455688402057,0.16994071625638746,0.8790145477652542,0.9386843219399448,0.2069071467034517,76.2
6,20221114_121400,[0.0004995066821070679],0.08496478701476008,0.17136993973771494,0.8629539027810114,0.9321477570384742,0.21327996654866885,271.9,0.09291192330420017,0.17249050435245702,0.8774724748730661,0.9340589618682856,0.21245380969387812,76.3
7,20221114_121400,[0.0004993286193061145],0.08056300529278815,0.19514149520808113,0.8630541689693942,0.9317963575571752,0.23262107703369087,271.5,0.09546882893890142,0.23163575078360724,0.8514603596925733,0.9327926763892171,0.24837463987059874,76.4
8,20221114_121400,[0.0004991232148123761],0.07778007720131427,0.2141259402457034,0.8690027170628327,0.9325938849896181,0.2502398743487718,271.0,0.09484239697456359,0.20744429308542736,0.8459900894761085,0.9387266662716859,0.24196371472062303,75.4
9,20221114_121400,[0.00049889049115077],0.07350609261076897,0.24144856741186194,0.8682199768722064,0.9345576934516423,0.2766087897471149,271.3,0.09194626159965992,0.16847938763482054,0.8715026259422302,0.934657715260982,0.21837163024652978,76.9
10,20221114_121400,[0.0004986304738420684],0.07084952839184552,0.2664104819879866,0.8731922654062523,0.9343381685018529,0.29288219676818694,271.0,0.09643844950944186,0.21684223479591308,0.827061971575022,0.9392258617281909,0.25187167297117424,76.1
11,20221114_121400,[0.0004983431914000992],0.06685331815388054,0.2961330498196183,0.8761133549362431,0.9378411826491334,0.3203089755517433,270.9,0.0967226436920464,0.19859014825895435,0.8230122788250446,0.9386932873725885,0.23963770035654303,76.4
12,20221114_121400,[0.0004980286753286196],0.06276950133731589,0.3258031827118251,0.8795539165288223,0.9391026439517708,0.34713005633093436,270.6,0.0985555599629879,0.197249702609677,0.8390084204077722,0.9312912467122073,0.23315538227891067,76.1
13,20221114_121400,[0.000497686960117861],0.06103462407831103,0.34429621832445345,0.8754466655105375,0.9370964170247301,0.3645206144452093,270.7,0.09922902410849929,0.23806157247337978,0.85782191157341,0.9379417946934695,0.2594739863573341,75.7
14,20221114_121400,[0.0004973180832407472],0.05924152159132064,0.36725664393976254,0.8778235016763225,0.9419807829707824,0.3848062212113291,270.8,0.1047860318236053,0.19166316332090574,0.8478271979093551,0.9301008522510522,0.23574919287841686,75.5
15,20221114_121400,[0.0004969220851487845],0.05493461856152862,0.3934677408030256,0.8825268825143573,0.9433759912848446,0.4108361899107695,270.7,0.10055682023987174,0.24385556653141985,0.8559454962611199,0.9220756021142006,0.2638414568267763,75.9
16,20221114_121400,[0.0004964990092676263],0.05301800338085741,0.4180999058112501,0.8889542409032586,0.9430828587710824,0.4332074902579191,270.3,0.1048265583999455,0.23922174956271197,0.8482886654138564,0.9376727333664888,0.26437474881042045,76.2
17,20221114_121400,[0.0004960489019923105],0.04955606352072209,0.4405656440183523,0.8907123666256669,0.9444540838897193,0.45611820841208095,271.6,0.10253719530999661,0.2242939326865599,0.8403321522474284,0.9293530356883999,0.246075202416396,76.3
18,20221114_121400,[0.0004955718126821723],0.047721598437055944,0.4618811066634955,0.8903207018971452,0.9430847100168434,0.4769333284534514,271.7,0.10485587088391185,0.2579277236852794,0.8511153447628019,0.9347123882174488,0.27596626921556905,75.3
19,20221114_121400,[0.0004950677936554306],0.04615078462986275,0.48259326620027376,0.8913269513100387,0.9457493572682117,0.4977886527031664,271.0,0.11204068887978792,0.23256659371778368,0.7424585607647893,0.9020466700196262,0.25429697851650424,75.8
20,20221114_121400,[0.0004945369001834515],0.04596578823169693,0.4871845400519672,0.8895941995829355,0.943899615406988,0.5003764097765088,273.6,0.11287093546241522,0.26253867503313816,0.8729559510946274,0.9224175950884812,0.2649383538222174,76.8
21,20221114_121400,[0.0004939791904846869],0.04341621694853529,0.5060563063621526,0.8953399346768871,0.9459523583203527,0.5181953006051481,276.6,0.11199137588962912,0.24803246568888432,0.8744448101520539,0.926118333339691,0.271019943729043,76.3
22,20221114_121400,[0.0004933947257182901],0.04190064204623923,0.5200766708329315,0.897850967496635,0.947702770978209,0.5300268582627174,274.5,0.11595095494762063,0.24282846519723528,0.8535966825485234,0.9269010618329047,0.26846768609248106,76.3
