epoch_id,train_serial,lr,train_loss,train_miou,train_iou1,train_iou2,train_iou3,train_elapsed_time,val_loss,val_miou,val_iou1,val_iou2,val_iou3,val_elapsed_time
0,20221113_191430,[0.001],0.14056638502515853,0.05366515088032871,0.8178112773598102,0.8953673344691163,0.10705120172787258,301.4,0.11272360526025295,0.18445809472352273,0.8717418810725213,0.9350000119209281,0.2130762227624655,52.1
1,20221113_191430,[0.000999972584682756],0.10381186054088175,0.10680549024854348,0.8299284077435763,0.9223659690469517,0.1567341354185234,294.8,0.0985072299093008,0.1079938210576327,0.8656953176856044,0.9317879295349114,0.15822181424693357,52.0
2,20221113_191430,[0.0009998903417374227],0.09580028851982206,0.13955635594423252,0.8384161154180778,0.926097717806695,0.1838527545625405,294.7,0.09005049902945757,0.1441347951724445,0.8659296259284018,0.9309572720527647,0.19496714480135308,52.2
3,20221113_191430,[0.0009997532801828658],0.09010624232701957,0.1685701248343297,0.845008443668487,0.9275120913982385,0.21263579630263843,295.1,0.09484532551839947,0.1303370078298031,0.8572561928629874,0.9350750774145119,0.19687422822986264,52.3
4,20221113_191430,[0.0009995614150494292],0.0851709409756586,0.19741822114156085,0.848542821556332,0.9296002611517896,0.23764028838370013,295.0,0.08828483883291482,0.23643681767163802,0.8731746014952659,0.9346044746041292,0.2596483372407966,52.2
5,20221113_191430,[0.000999314767377287],0.08118820053059608,0.2144493263278225,0.8541642127186079,0.9303138949722045,0.2525375386697126,295.8,0.0877847995609045,0.20009246572852124,0.8630937609076493,0.9357239311933512,0.23687595986761145,52.8
6,20221113_191430,[0.0009990133642141358],0.07688656359910966,0.24240898503223418,0.8578689890354888,0.9304288368672134,0.27825845464831256,297.2,0.08895894458517432,0.23135393286123873,0.8764160224795342,0.9398912486433977,0.2520304132811725,52.2
7,20221113_191430,[0.000998657238612229],0.07386635578237474,0.2672726412487099,0.8576061847805992,0.9332145449519134,0.29676315602613595,295.1,0.08906820816919207,0.27283030562102795,0.8778146505355827,0.9388353842496867,0.28476214233785846,52.3
8,20221113_191430,[0.0009982464296247522],0.07160534800030291,0.28561313591140824,0.8659944120794542,0.9317841751873485,0.3180926263099535,294.7,0.09013871738687157,0.19235237984656117,0.8692198914289474,0.9371384316682809,0.24137834060675234,52.1
9,20221113_191430,[0.00099778098230154],0.06787755168508738,0.30864341363310804,0.8645545563846833,0.9324384286254631,0.33465672049904244,294.5,0.0914638272114098,0.21987852036952976,0.8762020117044449,0.9368510511517517,0.25610739624127754,52.1
10,20221113_191430,[0.0009972609476841367],0.06324324212968349,0.34522120875306445,0.8711432205885659,0.9355016897618755,0.3671978653315449,295.8,0.0923892250470817,0.23942122684791706,0.8459671889245509,0.9391136732697482,0.26689535140059883,52.1
11,20221113_191430,[0.0009966863828001983],0.061149424095638095,0.3589713405631482,0.869022694006563,0.9348067723959664,0.3811047114990654,295.4,0.094002805352211,0.22249507369939253,0.8415692245960232,0.9330516389012331,0.26798924203030766,51.9
12,20221113_191430,[0.0009960573506572392],0.05901848992798477,0.38167252321727574,0.8732702402770519,0.9387457391619654,0.39985322585329386,296.0,0.09057184552773834,0.24861139990389344,0.8606773754954338,0.9371710473299021,0.27854028752539295,52.0
